2025-12-20 19:07:33.501 | $BDGSV,0,1,00
2025-12-20 19:07:33.502 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:07:33.502 | $GNZDA,,,,,,
2025-12-20 19:07:33.502 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:07:33.502 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:07:33.503 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:07:33.503 | $GPGSV,0,1,00
2025-12-20 19:07:33.503 | $BDGSV,0,1,00
2025-12-20 19:07:33.503 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:07:33.504 | $GNZDA,,,,,,
2025-12-20 19:07:34.072 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:07:34.103 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:07:34.144 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:07:34.154 | $GPGSV,0,1,00
2025-12-20 19:07:34.175 | $BDGSV,0,1,00
2025-12-20 19:07:34.206 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:07:34.226 | $GNZDA,,,,,,
2025-12-20 19:07:35.078 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:07:35.109 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:07:35.140 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:07:35.160 | $GPGSV,0,1,00
2025-12-20 19:07:35.181 | $BDGSV,0,1,00
2025-12-20 19:07:35.201 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:07:35.222 | $GNZDA,,,,,,
2025-12-20 19:07:36.073 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:07:36.104 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:07:36.145 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:07:36.155 | $GPGSV,0,1,00
