2025-12-20 19:09:32.177 | $BDGSV,0,1,00
2025-12-20 19:09:32.208 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:09:32.218 | $GNZDA,,,,,,
2025-12-20 19:09:33.070 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:09:33.111 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:09:33.142 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:09:33.163 | $GPGSV,0,1,00
2025-12-20 19:09:33.184 | $BDGSV,0,1,00
2025-12-20 19:09:33.204 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:09:33.225 | $GNZDA,,,,,,
2025-12-20 19:09:34.070 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:09:34.111 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:09:34.142 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:09:34.162 | $GPGSV,0,1,00
2025-12-20 19:09:34.183 | $BDGSV,0,1,00
2025-12-20 19:09:34.204 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:09:34.224 | $GNZDA,,,,,,
2025-12-20 19:09:35.076 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:09:35.107 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:09:35.138 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:09:35.158 | $GPGSV,0,1,00
2025-12-20 19:09:35.179 | $BDGSV,0,1,00
2025-12-20 19:09:35.210 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:09:35.220 | $GNZDA,,,,,,
2025-12-20 19:09:36.072 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:09:36.103 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:09:36.144 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:09:36.164 | $GPGSV,0,1,00
2025-12-20 19:09:36.175 | $BDGSV,0,1,00
2025-12-20 19:09:36.205 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:09:36.226 | $GNZDA,,,,,,
2025-12-20 19:09:37.077 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:09:37.108 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:09:37.139 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:09:37.160 | $GPGSV,0,1,00
2025-12-20 19:09:37.181 | $BDGSV,0,1,00
2025-12-20 19:09:37.202 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:09:37.222 | $GNZDA,,,,,,
2025-12-20 19:09:38.074 | $GNGGA,,,,,,0,00,,,M,,M,,
2025-12-20 19:09:38.105 | $GPGSA,A,1,,,,,,,,,,,,,,,,1
2025-12-20 19:09:38.145 | $BDGSA,A,1,,,,,,,,,,,,,,,,4
2025-12-20 19:09:38.156 | $GPGSV,0,1,00
2025-12-20 19:09:38.176 | $BDGSV,0,1,00
2025-12-20 19:09:38.208 | $GNRMC,,V,,,,,,,,,,N
2025-12-20 19:09:38.218 | $GNZDA,,,,,,
